Date,NIFTY,DOW,FTSE,Nikkei,HANSENG
15-05-2023,18203.40039,33426.62891,7756.899902,30916.31055,19450.57031
22-05-2023,18499.34961,33093.33984,7627.200195,31524.2207,18746.91992
29-05-2023,18534.09961,33762.76172,7607.299805,32265.16992,18949.93945
05-06-2023,18563.40039,33876.78125,7562.399902,33706.07813,19389.94922
12-06-2023,18826,34299.12109,7642.700195,32781.53906,20040.36914
19-06-2023,18665.5,33727.42969,7461.899902,33189.03906,18889.9707
26-06-2023,19189.05078,34407.60156,7531.5,32388.41992,18916.42969
03-07-2023,19331.80078,33734.87891,7256.899902,32391.25977,18365.69922
10-07-2023,19564.5,34509.03125,7434.600098,32304.25,19413.7793
17-07-2023,19745,35227.69141,7663.700195,32759.23047,19075.25977
24-07-2023,19646.05078,35459.28906,7694.299805,32192.75,19916.56055
31-07-2023,19517,35065.62109,7564.399902,32473.65039,19539.46094
07-08-2023,19428.30078,35281.39844,7524.200195,31450.75977,19075.18945
14-08-2023,19310.15039,34500.66016,7262.399902,31624.2793,17950.84961
21-08-2023,19265.80078,34346.89844,7338.600098,32710.61914,18119.39063
28-08-2023,19435.30078,34837.71094,7464.5,32606.83984,18382.06055
04-09-2023,19819.94922,34576.58984,7478.200195,33533.08984,18202.07031
11-09-2023,20192.34961,34618.23828,7711.399902,32402.41016,18182.89063
18-09-2023,19674.25,33963.83984,7683.899902,31857.61914,18057.44922
25-09-2023,19638.30078,33507.5,7608.100098,30994.66992,17809.66016
02-10-2023,19653.5,33407.57813,7494.600098,32315.99023,17485.98047
09-10-2023,19751.05078,33670.28906,7599.600098,31259.35938,17813.44922
16-10-2023,19542.65039,33127.28125,7402.100098,30991.68945,17172.13086
23-10-2023,19047.25,32417.58984,7291.299805,31949.89063,17398.73047
30-10-2023,19230.59961,34061.32031,7417.700195,32568.10938,17664.11914
06-11-2023,19425.34961,34283.10156,7360.600098,33585.19922,17203.25977
13-11-2023,19731.80078,34947.28125,7504.299805,33625.53125,17454.18945
20-11-2023,19794.69922,35390.14844,7488.200195,33431.51172,17559.41992
27-11-2023,20267.90039,36245.5,7529.399902,32307.85938,16830.30078
04-12-2023,20969.40039,36247.87109,7554.5,32970.55078,16334.37012
11-12-2023,21456.65039,37305.16016,7576.399902,33169.05078,16792.18945
18-12-2023,21349.40039,37385.96875,7697.5,33464.17188,16340.41016
